step,coalbench-grpo-rubric-lora-eval/kl_step,coalbench-grpo-rubric-lora-eval/kl_timestamp,coalbench-grpo-rubric-lora-train/kl_step,coalbench-grpo-rubric-lora-train/kl_timestamp
1,,,0,1782347873000
2,,,0.0010006849188357592,1782347933000
3,,,0.0011382093653082848,1782347994000
4,,,0.0010414127027615905,1782348056000
5,,,0.0010713874362409117,1782348118000
6,,,0.0010722451843321323,1782348178000
7,,,0.0010852598352357743,1782348242000
8,,,0.001114262850023806,1782348304000
9,,,0.001177839352749288,1782348367000
10,0.0011587227073808512,1782349331000,0.001232921495102346,1782348433000
11,,,0.0012712996685877442,1782349393000
12,,,0.0010426691733300686,1782349454000
13,,,0.001282262965105474,1782349516000
14,,,0.0012299352092668414,1782349575000
15,,,0.0012271179584786296,1782349638000
16,,,0.0012558173621073363,1782349697000
17,,,0.0012318065855652094,1782349758000
18,,,0.001308772712945938,1782349819000
19,,,0.001488836482167244,1782349880000
20,0.0015002265494937698,1782350873000,0.0013088282430544496,1782349947000
21,,,0.0013615537900477648,1782350934000
22,,,0.001477157697081566,1782350996000
23,,,0.001461203908547759,1782351056000
24,,,0.001864779624156654,1782351121000
25,,,0.0014212735695764422,1782351180000
26,,,0.001786611624993384,1782351241000
27,,,0.0019281200366094708,1782351299000
28,,,0.0018277887720614672,1782351358000
29,,,0.0021816312801092863,1782351419000
30,0.003213693480938673,1782352361000,0.00304554239846766,1782351478000
31,,,0.002966612111777067,1782352425000
32,,,0.002822617301717401,1782352485000
33,,,0.003592571010813117,1782352549000
34,,,0.002848556498065591,1782352612000
35,,,0.0039587924256920815,1782352675000
36,,,0.005040924064815044,1782352739000
37,,,0.005468711722642183,1782352803000
38,,,0.0042139398865401745,1782352865000
39,,,0.008368751965463161,1782352928000
40,0.007923385656128327,1782353887000,0.00608378229662776,1782352993000
41,,,0.00874367356300354,1782353950000
42,,,0.01065121777355671,1782354013000
43,,,0.010758007876574991,1782354071000
44,,,0.00982804410159588,1782354136000
45,,,0.008928509429097176,1782354200000
46,,,0.010886015370488169,1782354265000
47,,,0.011414200998842716,1782354328000
48,,,0.013405769132077694,1782354390000
49,,,0.01733609475195408,1782354450000
50,0.02119719125330448,1782355336000,0.01727319322526455,1782354505000
51,,,0.01412150915712118,1782355394000
52,,,0.030689110979437828,1782355451000
53,,,0.0272030271589756,1782355513000
54,,,0.024007176980376244,1782355574000
55,,,0.022956660017371178,1782355628000
56,,,0.02374124340713024,1782355678000
57,,,0.02185656689107418,1782355731000
58,,,0.026685770601034164,1782355785000
59,,,0.04523708298802376,1782355843000
60,0.03737316094338894,1782356626000,0.02364535816013813,1782355900000
61,,,0.03312006592750549,1782356672000
62,,,0.04611910134553909,1782356727000
63,,,0.04079773277044296,1782356787000
64,,,0.04718723893165589,1782356844000
65,,,0.04679877310991287,1782356892000
66,,,0.030929550528526303,1782356950000
67,,,0.0785437673330307,1782357002000
68,,,0.07791197299957275,1782357041000
69,,,0.0754290446639061,1782357073000
70,0.067416217426459,1782357791000,0.04669532552361488,1782357114000
71,,,0.03989916667342186,1782357848000
72,,,0.04575885459780693,1782357904000
73,,,0.08017478883266449,1782357947000
74,,,0.04800907149910927,1782357991000
75,,,0.1085045114159584,1782358035000
76,,,0.061523109674453735,1782358083000
77,,,0.06815940141677856,1782358140000
78,,,0.07923208177089691,1782358184000
79,,,0.054492317140102386,1782358243000
80,0.07315561945239703,1782358952000,0.05319499969482422,1782358301000
81,,,0.0723520889878273,1782358990000
82,,,0.06165029481053352,1782359030000
83,,,0.06402332335710526,1782359076000
84,,,0.055618252605199814,1782359122000
85,,,0.06172875314950943,1782359166000
86,,,0.08767355233430862,1782359202000
87,,,0.09806296974420547,1782359240000
88,,,0.09634076058864594,1782359278000
89,,,0.07563485950231552,1782359322000
90,0.0752223901450634,1782360014000,0.11813072860240936,1782359360000
91,,,0.07008349150419235,1782360068000
92,,,0.07276014238595963,1782360109000
