step,coalbench-grpo-rubric-lora-eval/reward_step,coalbench-grpo-rubric-lora-eval/reward_timestamp,coalbench-grpo-rubric-lora-train/reward_step,coalbench-grpo-rubric-lora-train/reward_timestamp
1,,,0.27471333742141724,1782347873000
2,,,0.21482184529304504,1782347933000
3,,,0.20057757198810575,1782347994000
4,,,0.1965569108724594,1782348056000
5,,,0.20340071618556976,1782348118000
6,,,0.1904357373714447,1782348178000
7,,,0.22457894682884216,1782348242000
8,,,0.23791912198066711,1782348304000
9,,,0.21341779828071591,1782348367000
10,0.2301020602385203,1782349331000,0.17778700590133667,1782348433000
11,,,0.22135010361671448,1782349393000
12,,,0.1923013776540756,1782349454000
13,,,0.22960533201694489,1782349516000
14,,,0.21788765490055084,1782349575000
15,,,0.2685299813747406,1782349638000
16,,,0.22486403584480288,1782349697000
17,,,0.253046452999115,1782349758000
18,,,0.17014437913894653,1782349819000
19,,,0.22799065709114075,1782349880000
20,0.23450616200764973,1782350873000,0.27114734053611755,1782349947000
21,,,0.20990745723247528,1782350934000
22,,,0.18867599964141848,1782350996000
23,,,0.21708983182907104,1782351056000
24,,,0.2245327830314636,1782351121000
25,,,0.2064126431941986,1782351180000
26,,,0.24489785730838776,1782351241000
27,,,0.23084300756454468,1782351299000
28,,,0.23617389798164368,1782351358000
29,,,0.25619661808013916,1782351419000
30,0.25041700303554537,1782352361000,0.26460000872612,1782351478000
31,,,0.2402309775352478,1782352425000
32,,,0.239557683467865,1782352485000
33,,,0.24843661487102509,1782352549000
34,,,0.2355756163597107,1782352612000
35,,,0.2292902171611786,1782352675000
36,,,0.2807682752609253,1782352739000
37,,,0.25178849697113037,1782352803000
38,,,0.23456770181655884,1782352865000
39,,,0.2567230463027954,1782352928000
40,0.2683211237192154,1782353887000,0.2601117789745331,1782352993000
41,,,0.26299789547920227,1782353950000
42,,,0.2679404318332672,1782354013000
43,,,0.2918931245803833,1782354071000
44,,,0.23148000240325928,1782354136000
45,,,0.3050921559333801,1782354200000
46,,,0.2916969656944275,1782354265000
47,,,0.2970745265483856,1782354328000
48,,,0.2103680521249771,1782354390000
49,,,0.29746824502944946,1782354450000
50,0.3027407358090083,1782355336000,0.2737950086593628,1782354505000
51,,,0.29149329662323,1782355394000
52,,,0.3100961744785309,1782355451000
53,,,0.34725087881088257,1782355513000
54,,,0.3410470187664032,1782355574000
55,,,0.3149484395980835,1782355628000
56,,,0.27510130405426025,1782355678000
57,,,0.3253307342529297,1782355731000
58,,,0.3127463161945343,1782355785000
59,,,0.3406469225883484,1782355843000
60,0.32553495168685914,1782356626000,0.2635151147842407,1782355900000
61,,,0.310322642326355,1782356672000
62,,,0.3303421139717102,1782356727000
63,,,0.3468509614467621,1782356787000
64,,,0.2996212840080261,1782356844000
65,,,0.3287559747695923,1782356892000
66,,,0.31453633308410645,1782356950000
67,,,0.3495419919490814,1782357002000
68,,,0.33953145146369934,1782357041000
69,,,0.33860185742378235,1782357073000
70,0.34903003176053365,1782357791000,0.3312057852745056,1782357114000
71,,,0.32605716586112976,1782357848000
72,,,0.3576453924179077,1782357904000
73,,,0.3802775740623474,1782357947000
74,,,0.36996468901634216,1782357991000
75,,,0.3598651885986328,1782358035000
76,,,0.3553200662136078,1782358083000
77,,,0.3352201581001282,1782358140000
78,,,0.3435407876968384,1782358184000
79,,,0.3593771457672119,1782358243000
80,0.35443469484647117,1782358952000,0.31476008892059326,1782358301000
81,,,0.3509482145309448,1782358990000
82,,,0.34078359603881836,1782359030000
83,,,0.338417112827301,1782359076000
84,,,0.3327564597129822,1782359122000
85,,,0.33730489015579224,1782359166000
86,,,0.35499122738838196,1782359202000
87,,,0.43406569957733154,1782359240000
88,,,0.36299777030944824,1782359278000
89,,,0.3175528049468994,1782359322000
90,0.35454363028208413,1782360014000,0.3726440966129303,1782359360000
91,,,0.3745698928833008,1782360068000
92,,,0.344651997089386,1782360109000
93,,,0.404457151889801,1782360165000
94,,,0.3803878426551819,1782360215000
95,,,0.3125736713409424,1782360274000
96,,,0.40521374344825745,1782360311000
97,,,0.3542020320892334,1782360358000
98,,,0.32469287514686584,1782360405000
99,,,0.3388136029243469,1782360442000
100,0.3620834767818451,1782361066000,0.29929783940315247,1782360493000
101,,,0.3250482976436615,1782361102000
102,,,0.3191104233264923,1782361157000
103,,,0.3851379454135895,1782361201000
104,,,0.3728191256523132,1782361261000
105,,,0.34896743297576904,1782361313000
106,,,0.3178778886795044,1782361357000
107,,,0.3729121088981629,1782361390000
108,,,0.34460216760635376,1782361428000
109,,,0.3260183334350586,1782361469000
110,0.36769136985143025,1782362104000,0.336058109998703,1782361527000
111,,,0.3076077997684479,1782362161000
112,,,0.3412587642669678,1782362200000
113,,,0.38866040110588074,1782362241000
114,,,0.36271291971206665,1782362279000
115,,,0.3636196553707123,1782362325000
116,,,0.3712708652019501,1782362371000
117,,,0.3358731269836426,1782362406000
118,,,0.3401203155517578,1782362452000
119,,,0.354844331741333,1782362495000
120,0.365659769376119,1782363076000,0.32855284214019775,1782362531000
121,,,0.3686144351959229,1782363120000
122,,,0.3796783983707428,1782363165000
123,,,0.381918728351593,1782363200000
124,,,0.4319922029972077,1782363245000
125,,,0.3622581660747528,1782363284000
126,,,0.3849141299724579,1782363326000
127,,,0.31568992137908936,1782363365000
128,,,0.3716127276420593,1782363396000
129,,,0.39128172397613525,1782363436000
130,0.36907392740249634,1782364077000,0.3780537247657776,1782363483000
131,,,0.3842523396015167,1782364121000
132,,,0.3860112726688385,1782364156000
133,,,0.3160516619682312,1782364193000
134,,,0.39923039078712463,1782364235000
135,,,0.4249956011772156,1782364269000
136,,,0.3563482463359833,1782364327000
137,,,0.39479219913482666,1782364367000
138,,,0.339897483587265,1782364398000
139,,,0.3611634373664856,1782364428000
140,0.36942391792933144,1782365025000,0.34198644757270813,1782364465000
141,,,0.3876548111438751,1782365072000
142,,,0.3877492845058441,1782365110000
143,,,0.3256632685661316,1782365148000
144,,,0.3560533821582794,1782365177000
145,,,0.3259889483451843,1782365229000
146,,,0.3916279375553131,1782365265000
147,,,0.38121098279953,1782365313000
148,,,0.3589255213737488,1782365344000
149,,,0.369513601064682,1782365382000
